"年度","關別","幣別","類型","出入境","數量","備註"
"105","高雄關","AUD","人民幣","人境","7556000",
"105","高雄關","AUD","人民幣","出境","202100",
"105","高雄關","AUD","外幣","人境","31270",
"105","高雄關","AUD","外幣","出境","102000",
"107","高雄關","AUD","外幣","入境","14000",
"108","高雄關","AUD","外幣","入境","47000",
"108","高雄關","AUD","外幣","出境","56000",
"109","高雄關","AUD","外幣","入境","20000",
"105","高雄關","AUD","有價證券","人境",,
"105","高雄關","AUD","有價證券","出境",,
"107","高雄關","AUD","有價證券","出境","15000",
"105","高雄關","AUD","新臺幣","人境","1219800",
"105","高雄關","AUD","新臺幣","出境","2954475",
"105","高雄關","CAD","外幣","人境","290150",
"105","高雄關","CAD","外幣","出境","86600",
"107","高雄關","CAD","外幣","入境","8735",
"109","高雄關","CAD","外幣","出境","20000",
"105","高雄關","CAD","有價證券","人境",,
"105","高雄關","CAD","有價證券","出境","32700",
"107","高雄關","CAD","有價證券","出境","16000",
"105","高雄關","CHF","外幣","人境","1853100",
"105","高雄關","CHF","外幣","出境","27360",
"107","高雄關","CHF","外幣","出境","11220",
"105","高雄關","CHF","有價證券","人境",,
"105","高雄關","CHF","有價證券","出境",,
"107","高雄關","CNY","人民幣","入境","7402110",
"107","高雄關","CNY","人民幣","出境","3341400",
"108","高雄關","CNY","人民幣","入境","2178615",
"108","高雄關","CNY","人民幣","出境","237215",
"109","高雄關","CNY","人民幣","入境","267800",
"110","高雄關","CNY","人民幣","入境","92260",
"110","高雄關","CNY","人民幣","出境","32260",
"105","高雄關","CNY","外幣","人境","7556000",
"105","高雄關","CNY","外幣","出境","202100",
"105","高雄關","CNY","有價證券","人境",,
"105","高雄關","CNY","有價證券","出境",,
"108","高雄關","CNY","有價證券","入境","85200",
"105","高雄關","EUR","外幣","人境","141765",
"105","高雄關","EUR","外幣","出境","7045040",
"107","高雄關","EUR","外幣","入境","700950",
"107","高雄關","EUR","外幣","出境","445570",
"108","高雄關","EUR","外幣","入境","700225",
"108","高雄關","EUR","外幣","出境","638760",
"109","高雄關","EUR","外幣","入境","108000",
"109","高雄關","EUR","外幣","出境","40000",
"110","高雄關","EUR","外幣","入境","233150",
"110","高雄關","EUR","外幣","出境","53000",
"105","高雄關","EUR","有價證券","人境",,
"105","高雄關","EUR","有價證券","出境",,
"107","高雄關","EUR","有價證券","出境","9500",
"105","高雄關","FJD","外幣","人境",,
"105","高雄關","FJD","外幣","出境","1000",
"105","高雄關","FJD","有價證券","人境",,
"105","高雄關","FJD","有價證券","出境",,
"105","高雄關","GBP","外幣","人境","920",
"105","高雄關","GBP","外幣","出境","1000",
"107","高雄關","GBP","外幣","入境","11000",
"107","高雄關","GBP","外幣","出境","12000",
"108","高雄關","GBP","外幣","入境","16000",
"108","高雄關","GBP","外幣","出境","30985",
"105","高雄關","GBP","有價證券","人境",,
"105","高雄關","GBP","有價證券","出境",,
"105","高雄關","HKD","外幣","人境","87299608",
"105","高雄關","HKD","外幣","出境","77663400",
"107","高雄關","HKD","外幣","入境","57539890",
"107","高雄關","HKD","外幣","出境","85945175",
"108","高雄關","HKD","外幣","入境","64522940",
"108","高雄關","HKD","外幣","出境","110552526",
"109","高雄關","HKD","外幣","入境","4445320",
"109","高雄關","HKD","外幣","出境","3997000",
"110","高雄關","HKD","外幣","入境","1135000",
"110","高雄關","HKD","外幣","出境","766000",
"105","高雄關","HKD","有價證券","人境",,
"105","高雄關","HKD","有價證券","出境",,
"107","高雄關","HKD","有價證券","入境","170000",
"105","高雄關","INR","外幣","人境","0",
"105","高雄關","INR","外幣","出境","133500",
"105","高雄關","INR","有價證券","人境",,
"105","高雄關","INR","有價證券","出境",,
"105","高雄關","JPY","外幣","人境","691621824",
"105","高雄關","JPY","外幣","出境","9474861056",
"107","高雄關","JPY","外幣","入境","680257899",
"107","高雄關","JPY","外幣","出境","1090525726",
"108","高雄關","JPY","外幣","入境","688810213",
"108","高雄關","JPY","外幣","出境","9453181526",
"109","高雄關","JPY","外幣","入境","180751658",
"109","高雄關","JPY","外幣","出境","1472632802",
"110","高雄關","JPY","外幣","入境","36840000",
"110","高雄關","JPY","外幣","出境","72890000",
"105","高雄關","JPY","有價證券","人境","5354",
"105","高雄關","JPY","有價證券","出境",,
"105","高雄關","KRW","外幣","人境","27550000",
"105","高雄關","KRW","外幣","出境","101818304",
"107","高雄關","KRW","外幣","入境","5000000",
"107","高雄關","KRW","外幣","出境","56560000",
"108","高雄關","KRW","外幣","入境","7697000",
"108","高雄關","KRW","外幣","出境","37800000",
"109","高雄關","KRW","外幣","出境","30000000",
"105","高雄關","KRW","有價證券","人境",,
"105","高雄關","KRW","有價證券","出境",,
"105","高雄關","LKR","外幣","人境",,
"105","高雄關","LKR","外幣","出境","46720",
"105","高雄關","LKR","有價證券","人境",,
"105","高雄關","LKR","有價證券","出境",,
"107","高雄關","MOP","外幣","入境","1000000",
"108","高雄關","MOP","外幣","出境","150000",
"105","高雄關","MUR","外幣","人境",,
"105","高雄關","MUR","外幣","出境","167300",
"108","高雄關","MUR","外幣","出境","13525",
"105","高雄關","MUR","有價證券","人境",,
"105","高雄關","MUR","有價證券","出境",,
"105","高雄關","MYR","外幣","人境","350",
"105","高雄關","MYR","外幣","出境","5000",
"107","高雄關","MYR","外幣","出境","20000",
"109","高雄關","MYR","外幣","入境","40000",
"105","高雄關","MYR","有價證券","人境",,
"105","高雄關","MYR","有價證券","出境",,
"107","高雄關","NZD","外幣","入境","8125",
"109","高雄關","NZD","外幣","入境","16500",
"105","高雄關","PHP","外幣","人境",,
"105","高雄關","PHP","外幣","出境","45000",
"105","高雄關","PHP","有價證券","人境",,
"105","高雄關","PHP","有價證券","出境","242400",
"107","高雄關","SAR","外幣","入境","37500",
"107","高雄關","SEK","外幣","入境","150000",
"108","高雄關","SEK","外幣","入境","80000",
"105","高雄關","SGD","外幣","人境","467100",
"105","高雄關","SGD","外幣","出境","830100",
"107","高雄關","SGD","外幣","入境","372788",
"107","高雄關","SGD","外幣","出境","694000",
"108","高雄關","SGD","外幣","入境","309100",
"108","高雄關","SGD","外幣","出境","53214",
"109","高雄關","SGD","外幣","入境","137750",
"109","高雄關","SGD","外幣","出境","116250",
"105","高雄關","SGD","有價證券","人境",,
"105","高雄關","SGD","有價證券","出境",,
"105","高雄關","THB","外幣","人境","4580",
"105","高雄關","THB","外幣","出境","815000",
"108","高雄關","THB","外幣","出境","2310000",
"105","高雄關","THB","有價證券","人境",,
"105","高雄關","THB","有價證券","出境",,
"105","高雄關","TWD","外幣","人境","1219800",
"105","高雄關","TWD","外幣","出境","2954475",
"105","高雄關","TWD","有價證券","人境","20689680",
"105","高雄關","TWD","有價證券","出境",,
"107","高雄關","TWD","有價證券","入境","35979728",
"107","高雄關","TWD","有價證券","出境","29570000",
"107","高雄關","TWD","新臺幣","入境","4299100",
"107","高雄關","TWD","新臺幣","出境","5255500",
"108","高雄關","TWD","新臺幣","入境","10788800",
"108","高雄關","TWD","新臺幣","出境","7310615",
"109","高雄關","TWD","新臺幣","入境","2657000",
"109","高雄關","TWD","新臺幣","出境","4642191",
"110","高雄關","TWD","新臺幣","入境","1846720",
"110","高雄關","TWD","新臺幣","出境","3745993",
"105","高雄關","USD","外幣","人境","4774709",
"105","高雄關","USD","外幣","出境","27615074",
"107","高雄關","USD","外幣","入境","4582487",
"107","高雄關","USD","外幣","出境","50059484",
"108","高雄關","USD","外幣","入境","5278755",
"108","高雄關","USD","外幣","出境","47484608",
